experiment,seed,best_k,min_mse_vs_true,mse_vs_noisy_at_best_k
piecewise_1d_hetero_linear,15,30,0.006807504088329381,0.1051413195608332
piecewise_1d_hetero_linear,16,20,0.00694126989773688,0.10215487552532625
piecewise_1d_hetero_linear,17,20,0.011797772665418845,0.10279310297513397
piecewise_1d_hetero_linear,18,20,0.012973859491347516,0.11229623317233682
piecewise_1d_hetero_linear,19,20,0.009574921479738405,0.10828092349786607
piecewise_1d_hetero_linear,20,30,0.007070005002255574,0.10050802385981368
piecewise_1d_hetero_linear,21,30,0.00865646898760043,0.1033814970436967
piecewise_1d_hetero_linear,22,20,0.0060857654498182685,0.10003978629887816
piecewise_1d_hetero_linear,23,20,0.009131910342557965,0.1055538896516616
piecewise_1d_hetero_linear,24,30,0.006711935628764284,0.09710326661948727
piecewise_1d_hetero_linear,25,50,0.009305767942878707,0.09975069229368268
piecewise_1d_hetero_linear,26,20,0.00642394336901453,0.09479451152394182
piecewise_1d_hetero_linear,27,20,0.009644077862317874,0.10248004878463929
piecewise_1d_hetero_linear,28,20,0.007891431646079427,0.10278761779314574
piecewise_1d_hetero_linear,29,30,0.005946148595989346,0.10302289927395528
piecewise_1d_hetero_linear,30,30,0.008546214053097424,0.1050153246992978
product_sine_5d_homo,1,8,0.009753483898277246,0.03277341866290199
product_sine_5d_homo,2,13,0.0094362196896468,0.03130351505081534
product_sine_5d_homo,3,8,0.01025987821965606,0.031747989226478535
product_sine_5d_homo,4,8,0.009770842416080151,0.03235136576585144
product_sine_5d_homo,5,8,0.007789119236758897,0.030268040096004634
product_sine_5d_homo,6,13,0.00937963479466026,0.03167030554865085
product_sine_5d_homo,7,8,0.010323699081425466,0.03265064152499409
product_sine_5d_homo,8,8,0.0126701585317969,0.033581042409734516
product_sine_5d_homo,9,13,0.00872412512240398,0.03111800450173497
product_sine_5d_homo,10,13,0.009114321758682278,0.032533053143682635
product_sine_5d_homo,11,13,0.007397215739413382,0.02913190914766771
product_sine_5d_homo,12,13,0.009435289496473192,0.031310853718724496
product_sine_5d_homo,13,13,0.008991708846140206,0.03472766628205241
product_sine_5d_homo,14,13,0.01027998884392807,0.03315389062785946
product_sine_5d_homo,15,13,0.009453525241901637,0.030419857490857027
product_sine_5d_homo,16,13,0.009431505833050927,0.03132046705915772
product_sine_5d_homo,17,13,0.009360717353087508,0.03410197187117383
product_sine_5d_homo,18,13,0.010041218657550383,0.03075193706546345
product_sine_5d_homo,19,13,0.009164766024995337,0.033345268392142406
product_sine_5d_homo,20,8,0.009317083592937083,0.031837177877573265
product_sine_5d_homo,21,13,0.008631657282910666,0.031030467166732283
product_sine_5d_homo,22,13,0.010583200579500844,0.03184696761557892
product_sine_5d_homo,23,13,0.01059911731268785,0.033180539429335854
product_sine_5d_homo,24,8,0.009200165265321207,0.030565467927839263
product_sine_5d_homo,25,13,0.008892125688793216,0.030729266878548274
product_sine_5d_homo,26,13,0.010229661726594426,0.03244650424736938
product_sine_5d_homo,27,8,0.00997345029356784,0.031357747133949745
product_sine_5d_homo,28,13,0.010342330285369012,0.03294712767720564
product_sine_5d_homo,29,13,0.010555841549625923,0.03038832116029226
product_sine_5d_homo,30,13,0.008982820067931935,0.03013045192236452
linear_sum_10d_hetero_radial,1,8,0.1818432293503302,0.3169374585388149
